Website,Zipcode,Lot size,Price
Redfin,49014,3.25,39000
Redfin,49224,10.00,50000
Redfin,49224,30.93,160000
Redfin,49092,39.47,79000
Redfin,49068,3.50,35000
Redfin,49017,40.00,240000
Redfin,49224,6.94,40000
Redfin,49092,39.47,79000
Redfin,49068,1.34,225000
Redfin,9703,6.94,40000
Redfin,49068,20.00,125000
Redfin,49092,38.00,199000
Redfin,49015,1.12,27500
Redfin,49092,39.45,220000
Redfin,49014,10.30,48000
Redfin,49033,20.00,110000
Redfin,49068,1.44,34990
Redfin,49017,2.00,28500
Redfin,49015,10.08,119000
Redfin,49014,10.00,200000
Redfin,49068,40.00,200000
Redfin,49017,2.00,15000
Redfin,49017,3.86,30500
Redfin,49051,5.00,45000
Redfin,49014,1.77,110000
Redfin,49224,32.45,150000
Redfin,49015,12.19,125000
Redfin,49224,67.51,285000
Redfin,49068,13.37,72000
Redfin,49068,41.03,195000
Redfin,49014,8.44,7000
Redfin,49068,41.03,195000
Redfin,49033,5.60,33000
Redfin,49017,2.58,30000
Redfin,49051,83.37,295000
Redfin,49014,33.00,135000
Redfin,49068,3.38,76500
Redfin,49015,73.54,324900
Redfin,49224,3.79,23000
Redfin,49068,10.09,300000
Redfin,49068,10.09,300000
Redfin,49014,1.25,47000
Redfin,49011,9.60,86000
Redfin,49015,2.25,80000
Redfin,49037,12.08,36000
Redfin,49014,10.68,150000
Redfin,49015,3.53,6765
Redfin,49014,2.02,30000
Redfin,49037,12.07,36000
Redfin,49068,10.50,37000
Redfin,49245,20.91,87000
Redfin,49076,10.20,72500
Redfin,49092,32.00,210000
Redfin,49245,6.41,43840
Redfin,49224,37.00,181700
Redfin,49224,37.00,181700
Redfin,49014,10.00,20000
Redfin,49011,6.39,52000
Redfin,49017,18.49,130000
Redfin,49068,6.78,43000
Redfin,49068,3.34,20000
Redfin,49037,2.19,21000
Redfin,49037,5.58,56000
Redfin,49017,7.77,73000
Redfin,49068,5.09,69000
Redfin,49245,41.80,165000
Redfin,49029,2.68,30000
Redfin,49014,7.51,130000
Redfin,49014,3.60,23900
Redfin,49068,12.80,245000
Redfin,49068,12.80,245000
Redfin,49014,3.00,240000
Redfin,49068,81.64,287500
Redfin,49015,2.41,35000
Redfin,49014,20.00,91500
Redfin,49014,12.13,105000
Redfin,49017,55.85,325000
Redfin,49068,9.10,70000
Redfin,49068,87.21,240000
Redfin,49068,87.21,240000
Redfin,49017,44.46,200000
Redfin,49224,36.00,165000
Redfin,49068,4.20,47500
Redfin,49037,5.27,5000
Redfin,49068,12.32,75000
Redfin,49076,9.21,124700
Redfin,49068,12.32,75000
Redfin,49068,32.88,76000
Redfin,49068,6.73,53000
Redfin,49224,89.35,338000
Redfin,49245,2.00,39500
Redfin,49014,40.90,210000
Redfin,49224,55.00,250000
Redfin,49224,4.00,42501
Redfin,49224,4.00,42501
Redfin,49224,12.50,65000
Redfin,49051,1.40,26500
Redfin,49015,20.18,80000
Redfin,49037,12.00,215000
Redfin,49015,1.24,25000
Redfin,49017,3.60,31000
Redfin,49029,74.07,400000
Redfin,49017,3.60,31000
Redfin,49014,74.00,65000
Redfin,49224,2.61,39000
Redfin,49068,1.25,45000
Redfin,49224,14.58,125000
Redfin,49068,1.89,190000
Redfin,49068,10.42,344500
Redfin,49076,2.00,45000
Redfin,49017,62.79,200000
Redfin,49015,24.10,175000
Redfin,49245,18.61,96200
Redfin,49245,18.61,96200
Redfin,49068,31.50,500386
Redfin,49014,17.07,70000
Redfin,49245,60.00,365000
Redfin,49015,1.64,60000
Redfin,49068,7.00,190000
Redfin,49015,1.00,50000
Redfin,49015,1.14,25000
Redfin,49017,80.00,486000
Redfin,49037,1.07,600000
Redfin,49076,1.72,37500
Redfin,49068,1.01,30000
Redfin,49068,2.15,44900
Redfin,49094,1.30,18000
Redfin,49011,-,40000
Redfin,49011,5.00,65000
Redfin,49224,12.50,65000
Redfin,49029,23.64,75000
Redfin,49014,1.00,18000
Redfin,49224,5.82,55000
Redfin,49068,9.80,125000
Redfin,49015,10.09,119000
Redfin,49068,6.78,43000
Redfin,49014,1.30,310805
Redfin,49068,1.63,60000
Redfin,49224,5.00,76000
Redfin,49017,10.00,15000
Redfin,49017,51.15,180000
Redfin,49245,43.47,20000
Redfin,49068,3.50,35000
Redfin,49017,2.57,30000
Redfin,49021,10.00,96000
Redfin,49014,-,10000
Redfin,49245,40.06,80000
Redfin,49076,10.20,72500
Redfin,49017,3.60,28000
Redfin,49014,5.50,70814
Redfin,49011,6.39,52000
Redfin,49033,1.00,8000
Redfin,49068,40.00,200000
Redfin,49014,2.80,71000
Redfin,49037,1.06,10000
Redfin,49068,79.70,105000
Redfin,49068,4.18,35000
Redfin,49224,9.20,26000
Redfin,49014,32.88,76000
Redfin,49224,36.50,99000
Redfin,49014,15.91,70000
Redfin,49068,1.25,45000
Redfin,49017,39.64,15000
Redfin,49076,36.87,137500
Redfin,-,5.60,33000
Redfin,49051,11.00,75000
Redfin,49014,7.31,238000
Redfin,49017,18.49,73000
Redfin,49029,2.68,30000
Redfin,49011,10.03,23000
Redfin,49068,2.94,30500
Redfin,49051,3.03,70000
Redfin,49014,56.00,150000
Redfin,49245,20.45,99000
Redfin,49014,1.18,18000
Redfin,49252,40.00,33333
Redfin,49224,2.00,18500
Redfin,49014,20.00,115000
Redfin,49014,3.25,39000
Redfin,49068,1.01,30000
Redfin,49014,2.05,30000
Redfin,49033,4.08,25000
Redfin,49051,5.94,44999
Redfin,49094,1.30,18000
Redfin,49017,62.68,100000
Redfin,49068,3.87,25000
Redfin,49014,36.73,146800
Redfin,49014,7.63,238000
Redfin,49014,12.05,57500
Redfin,49092,39.45,220000
Redfin,49017,2.91,10500
Redfin,49068,2.47,260000
Redfin,49014,10.68,150000
Redfin,49252,20.24,87000
Redfin,49068,14.42,73500
Redfin,49015,2.41,35000
Redfin,49068,20.32,125000
Redfin,49017,10.02,65000
Redfin,49224,36.00,165000
Redfin,49021,120.00,410000
Redfin,49068,2.94,30500
Redfin,49051,3.03,70000
Redfin,49014,56.00,150000
Redfin,49014,20.00,115000
Redfin,49014,3.25,39000
Redfin,49068,1.01,30000
Redfin,49014,2.05,30000
LandWatch,49017,54,179000
LandWatch,49224,40,120000
LandWatch,49017,38,89000
LandWatch,49068,80,157900
LandWatch,49092,38,109900
LandWatch,49014,1.4,22000
